models/svc/gamma,Accuracy,SD on test folds
0.001,0.691334413391173,0.013287684274481668
0.0012,0.6873956582112687,0.011713216374691752
0.002,0.6580795786356675,0.019315971764177205
0.005,0.5264934171895684,0.006667412811520711
0.01,0.4212572731114411,0.007378279202691213
1.0,0.3333333333333333,0.0
