models/svc/gamma,Accuracy,SD on test folds
0.0001,0.6872366276201141,0.01420385448952573
0.0002,0.7007447326598999,0.019690362627095507
0.0003,0.7047294086406853,0.015776892573030558
0.0004,0.7045124571970457,0.01693307089469317
0.0005,0.7036164178026606,0.01754503828189456
