models/lightgbm/boosting_type,models/lightgbm/learning_rate,models/lightgbm/n_estimators,models/lightgbm/num_leaves,preproc/rmf/pca/model/kernel,preproc/rmf/pca/model/n_components,Accuracy,SD on test folds
dart,0.05,500,31,sigmoid,3,0.47850976013449714,0.018953578320010746
dart,0.05,500,31,sigmoid,10,0.4752765521608512,0.019846410059827537
dart,0.05,500,31,sigmoid,25,0.4790806745639113,0.0376834956025873
dart,0.05,500,63,linear,3,0.4416421455981916,0.06204780308721935
dart,0.05,500,63,linear,10,0.43891281220789713,0.045092144467024725
dart,0.05,500,63,linear,25,0.39818039701306535,0.03950980791919773
dart,0.05,500,63,sigmoid,3,0.48515935319532355,0.01716946082248829
dart,0.05,500,63,sigmoid,10,0.4693459075816529,0.024288439449483466
dart,0.05,500,63,sigmoid,25,0.47418764997969953,0.03781482923289144
dart,0.05,500,127,linear,3,0.4370344017206671,0.059488139204193734
dart,0.05,500,127,linear,10,0.44503212098192224,0.04522315359958358
dart,0.05,500,127,linear,25,0.4039091744651703,0.040564596146250735
dart,0.05,500,127,sigmoid,3,0.49116812878244975,0.017007531131362635
dart,0.05,500,127,sigmoid,10,0.47154287179408516,0.02628006921959417
dart,0.05,500,127,sigmoid,25,0.4766824633255398,0.03953303555515447
dart,0.05,1000,31,linear,3,0.44124984232565867,0.05738677267459248
dart,0.05,1000,31,linear,10,0.43707761693439995,0.050213267339887575
dart,0.05,1000,31,linear,25,0.4001249795206891,0.03356300256372203
dart,0.05,1000,31,sigmoid,3,0.4771595720135065,0.020508568832343182
dart,0.05,1000,31,sigmoid,10,0.4709369737639301,0.020405764029662633
dart,0.05,1000,31,sigmoid,25,0.47681451666603925,0.03993953030446046
dart,0.05,1000,63,linear,3,0.45046711168348763,0.06026546272178717
dart,0.05,1000,63,linear,10,0.4359346076519362,0.04597867391762489
dart,0.05,1000,63,linear,25,0.3977774010305715,0.031143834445591358
dart,0.05,1000,63,sigmoid,3,0.48695176691361264,0.025247600841416154
dart,0.05,1000,63,sigmoid,10,0.4694971247194206,0.025258373138360553
dart,0.05,1000,63,sigmoid,25,0.4642370861707549,0.042596086735093915
dart,0.05,1000,127,linear,3,0.4474403327285718,0.05941029883645987
dart,0.05,1000,127,linear,10,0.43906873983607186,0.04520632943876752
